SRR21374345	2227 MB	SAMN30613338
SRR21374344	2035 MB	SAMN30613337
SRR21374341	2374 MB	SAMN30613336
SRR21374343	1978 MB	SAMN30613320
SRR21374342	2810 MB	SAMN30613319
SRR21374340	2575 MB	SAMN30613335
SRR21374339	2114 MB	SAMN30613334
SRR21374338	3057 MB	SAMN30613333
SRR21374337	1954 MB	SAMN30613332
SRR21374336	2845 MB	SAMN30613331
SRR21374335	2021 MB	SAMN30613330
SRR21374334	2164 MB	SAMN30613329
SRR21374333	2410 MB	SAMN30613328
SRR21374332	2227 MB	SAMN30613327
SRR21374331	2207 MB	SAMN30613326
SRR21374330	3820 MB	SAMN30613325
SRR21374329	2295 MB	SAMN30613324
SRR21374328	1990 MB	SAMN30613323
SRR21374327	2185 MB	SAMN30613322
SRR21374326	2167 MB	SAMN30613321
