module	partial_r_wg_given_sex	module_top5_stability	module_sign_flip_rate	module_stability_tier
M6	-0.5898	0.748	0.183	MEDIUM
M8	-0.4828	0.682	0.081	MEDIUM
M7	-0.3205	0.488	0.146	LOW
M13	0.3324	0.395	0.186	LOW
M15	0.3079	0.354	0.15	LOW
M20	0.2273	0.275	0.202	LOW
M12	0.2409	0.26	0.127	LOW
M11	-0.2594	0.252	0.123	LOW
M16	-0.008	0.228	0.473	LOW
M1	-0.104	0.221	0.37	LOW
M19	0.2308	0.188	0.169	LOW
M14	0.0689	0.185	0.362	LOW
M4	-0.0696	0.156	0.442	LOW
M3	0.211	0.149	0.162	LOW
M17	0.1451	0.119	0.276	LOW
M5	-0.1176	0.109	0.278	LOW
M9	-0.153	0.093	0.2	LOW
M2	0.2079	0.049	0.078	LOW
M18	-0.0359	0.027	0.332	LOW
M10	-0.0286	0.022	0.388	LOW
